price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
230.7,5.0,3.0,3.0,7.0,30.0,93,0.48,4.83,4.92,4.78,4.84,164,1.0,44,46.14
222.87,4.0,1.0,1.0,2.0,30.0,30,0.19,4.63,4.47,4.8,4.73,8,1.0,44,55.7175
256.76,2.0,1.0,1.0,1.0,1.0,210,1.1,4.77,4.71,4.67,4.74,209,1.0,41,128.38
49.32,2.0,1.0,2.0,1.0,30.0,52,0.31,4.66,4.73,4.62,4.54,252,3.0,24,24.66
102.965,2.0,1.0,1.0,1.0,30.0,0,0.0,4.84,4.81,4.8,4.78,0,2.0,15,51.4825
168.17,7.0,2.0,3.0,13.0,30.0,157,0.92,4.53,4.56,4.24,4.53,140,2.0,29,24.024285714285714
102.965,1.0,1.0,2.0,1.0,30.0,26,0.22,4.65,4.62,5.0,4.73,0,1.0,8,102.965
224.0,9.0,1.0,2.0,8.0,30.0,11,0.06,4.67,4.64,4.45,4.55,287,28.0,43,24.88888888888889
140.12,7.0,1.0,1.0,4.0,30.0,9,0.05,3.43,3.38,4.25,3.25,256,28.0,41,20.017142857142858
231.74,9.0,1.0,2.0,6.0,30.0,8,0.05,4.57,4.38,4.75,4.38,298,28.0,24,25.74888888888889
82.97,1.0,1.0,1.0,1.0,30.0,11,0.14,4.73,4.45,4.91,4.64,226,1.0,13,82.97
222.87,2.0,1.0,1.0,2.0,30.0,479,2.45,4.93,4.96,4.89,4.91,1,2.0,33,111.435
102.965,2.0,1.0,1.0,1.0,30.0,261,1.44,4.81,4.83,4.89,4.83,0,1.0,17,51.4825
2765.47,9.0,2.5,2.0,4.0,30.0,25,0.14,4.96,4.8,4.72,4.72,364,12.0,30,307.27444444444444
119.93,1.0,1.0,1.0,1.0,30.0,31,0.17,4.68,4.47,4.5,4.57,68,1.0,16,119.93
222.87,4.0,1.0,2.0,2.0,30.0,5,0.05,5.0,4.8,5.0,4.8,0,1.0,36,55.7175
166.39,1.0,1.0,1.0,1.0,30.0,128,0.71,4.89,4.91,4.79,4.84,83,1.0,28,166.39
153.84,3.0,1.0,1.0,1.0,30.0,133,0.74,4.77,4.83,4.41,4.55,308,1.0,21,51.28
222.87,2.0,1.0,1.0,2.0,30.0,63,0.36,4.87,4.75,4.95,4.82,0,1.0,8,111.435
102.965,2.0,1.0,1.0,1.0,2.0,64,0.49,4.97,4.98,5.0,4.89,1,2.0,51,51.4825
