price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,host_listings_count,amenity_count,price_per_person,target_superhost
208.24,2.0,1.0,,2.0,30.0,90.0,42,33,0.18,4.9,4.79,4.85,4.67,2.0,40,104.12,1.0
171.65,2.0,1.0,1.0,1.0,30.0,60.0,365,317,1.62,4.71,4.89,4.67,4.7,4.0,26,85.825,0.0
210.6,2.0,1.0,1.0,2.0,30.0,1125.0,358,214,1.09,4.75,4.87,4.4,4.73,1.0,57,105.3,0.0
230.7,5.0,3.0,3.0,7.0,30.0,180.0,164,93,0.48,4.83,4.92,4.78,4.84,1.0,44,46.14,0.0
,4.0,,1.0,,30.0,90.0,8,30,0.19,4.63,4.47,4.8,4.73,1.0,44,,0.0
256.76,2.0,1.0,,1.0,1.0,21.0,209,210,1.1,4.77,4.71,4.67,4.74,1.0,41,128.38,1.0
49.32,2.0,1.0,2.0,1.0,30.0,90.0,252,52,0.31,4.66,4.73,4.62,4.54,3.0,24,24.66,0.0
,2.0,,,,30.0,45.0,0,0,0.0,,,,,2.0,15,,0.0
168.17,7.0,2.0,3.0,13.0,30.0,30.0,140,157,0.92,4.53,4.56,4.24,4.53,2.0,29,24.024285714285714,0.0
,1.0,,2.0,,30.0,1125.0,0,26,0.22,4.65,4.62,5.0,4.73,1.0,8,,0.0
224.0,9.0,1.0,2.0,8.0,30.0,180.0,287,11,0.06,4.67,4.64,4.45,4.55,28.0,43,24.88888888888889,0.0
140.12,7.0,1.0,1.0,4.0,30.0,180.0,256,9,0.05,3.43,3.38,4.25,3.25,28.0,41,20.017142857142858,0.0
231.74,9.0,1.0,2.0,6.0,30.0,365.0,298,8,0.05,4.57,4.38,4.75,4.38,28.0,24,25.74888888888889,0.0
82.97,1.0,1.0,,1.0,30.0,1125.0,226,11,0.14,4.73,4.45,4.91,4.64,1.0,13,82.97,0.0
,2.0,,1.0,,30.0,365.0,1,479,2.45,4.93,4.96,4.89,4.91,2.0,33,,0.0
,2.0,,1.0,,30.0,31.0,0,261,1.44,4.81,4.83,4.89,4.83,1.0,17,,0.0
2765.47,9.0,2.5,2.0,4.0,30.0,1125.0,364,25,0.14,4.96,4.8,4.72,4.72,12.0,30,307.27444444444444,0.0
119.93,1.0,1.0,1.0,1.0,30.0,30.0,68,31,0.17,4.68,4.47,4.5,4.57,1.0,16,119.93,0.0
,4.0,,2.0,,30.0,730.0,0,5,0.05,5.0,4.8,5.0,4.8,1.0,36,,0.0
166.39,1.0,1.0,,1.0,30.0,180.0,83,128,0.71,4.89,4.91,4.79,4.84,1.0,28,166.39,0.0
153.84,3.0,1.0,1.0,1.0,30.0,1125.0,308,133,0.74,4.77,4.83,4.41,4.55,1.0,21,51.28,1.0
,2.0,,1.0,,30.0,730.0,0,63,0.36,4.87,4.75,4.95,4.82,1.0,8,,0.0
,2.0,,,,2.0,28.0,1,64,0.49,4.97,4.98,5.0,4.89,2.0,51,,1.0
